ItemName,Author1,Author2,Copyright,LastRead,Genre,,,
Woken Furies,Richard K. Morgan,,2009,12/13/2012,SF,,,
Atlantis Code,Charles Brokaw,,2011,12/20/2012,SF,,,
Day Break Zero,John Barnes,,2011,12/20/2012,SF,,,
Reamde,Neal Stephenson,,2011,12/31/2012,SF,,,
The Racketeer,John Grisham,,2012,1/3/2013,SF,,,
Snare,Katharine Kerr,,2003,1/15/2013,SF,,,
Coalescent,Stephen Baxter,,,1/16/2013,SF,,,
StarWars: Survivor''s Quest,Timothy Zahn,,2004,1/22/2013,SF,,,
Market Forces ,Richard K. Morgan,,2005,1/21/2013,SF,,,
Ark,Stephen Baxter,,2009,1/27/2013,SF,,,
The Pulse,Scott B. Williams,,2012,2/7/2013,SF,,,
Stone Spring,Stephen Baxter,,2010,3/5/2013,SF,,,
Double Human,James O''Neal,,2011,2/18/2013,SF,,,
Flood,Stephen Baxter,,2008,2/27/2013,SF,,,
The Forgotten,David Baldacci,,2012,3/8/2013,SF,,,
Rolling Thunder,John Varley,,2008,3/11/2013,SF,,,
Echo,Jack McDevitt,,2010,3/15/2013,SF,,,
Mammoth,John Varley,,2005,3/27/2013,SF,,,
Out of the Dark,David Weber,,2010,3/30/2013,SF,,,
Red Thunder,John Varley,,,3/31/2013,SF,,,
Red Lightning,John Varley,,,4/5/2013,SF,,,
Titan,Stephen Baxter,,,4/6/2013,SF,,,
Rolling Thunder,John Varley,,,4/7/2013,SF,,,
The Games,Ted Kosmatka,,,4/10/2013,SF,,,
Kill Decision,Daniel Suarez,,2012,4/12/2013,SF,,,
Kiln People,David Brin,,2003,4/16/2013,SF,,,
Sacrifice Game,Brian D''Amato,,2012,4/20/2013,SF,,,
Infinity Beach,Jack McDevitt,,2011,4/22/2013,SF,,,
SIMS,F. Paul Wilson,,2003,4/25/2013,SF,,,
The Gripping Hand,Larry Niven ,Jerry Pournelle,1993,4/29/2013,SF,,,
Pilgrim,Fred Saberhagen,,1987,5/1/2013,SF,,,
The Power of Six,Pittacus Lore,,2011,5/3/2013,SF,,,
The Reality Dysfunction,Peter F. Hamilton,,,6/10/2013,SF,,,
Neutronium Alchemist,Peter F. Hamilton,,,6/21/2013,SF,,,
Naked God,Peter F. Hamilton,,,7/3/2013,SF,,,
Existence,David Brin,,2012,7/15/2013,SF,,,
Star Carrier #4,Ian Douglas ,,2013,7/24/2013,SF,,,
Last Theorem,Arthur C. Clarke,Frederick Pohl,,7/27/2013,SF,,,
Descent,Jeff Long,,2001,8/3/2013,SF,,,
Agenda 21,Glenn Beck,Harriet Parke,2012,8/14/2013,SF,,,
The Windup Girl,Paolo T Bacigalupi,,2012,9/1/2013,SF,,,
The Host,Stephenie Meyer,,,9/8/2013,SF,,,
Slow Apocalypse,John Varley,,2012,10/30/2013,SF,,,
Midst Toil and Tribulation,David Weber,,,11/12/2013,SF,,,
The Twelve,Justin Cronin,,2012,11/22/2013,SF,,,
Memoirs of an Invisible Man,H.F. Saint,,,11/26/2013,SF,,,
The Fate of Worlds,Larry Niven,Edward Lerner,2012,11/30/2013,SF,,,
Twenty Thirty,Albert Brooks,,2011,12/5/2013,SF,,,
Slant,Greg Bear,,1997,12/18/2013,SF,,,
Prayers for the Assissin,Robert Ferrigno,,,12/26/2013,SF,,,
A Second Chance at Eden,Peter F. Hamilton,,,1/3/2014,SF,,,
Nano Time,Bart Kosko,,,1/10/2014,SF,,,
Heaven''s War,D.S Goyer,M. Cassutt,,6/24/2014,SF,,,
The Long War,Stephen Baxter,Terry Pratchett,2012,7/17/2014,SF,,,
Voyage,Stephen Baxter,,1996,7/12/2014,SF,,,
Dead Lines,Greg Bear,,2004,8/2/2014,SF,,,
The Lost Memory of Skin,Russell Banks,,2011,8/3/2014,SF,,,
Existence,David Brin,,2012,8/24/2014,SF,,,
Legacy ,David L. Golemon,,2011,9/6/2014,SF,,,
World War Z,Max Brooks,,2011,9/12/2014,SF,,,
Heaven''s Shadow,D.S Goyer,M. Cassutt,,10/18/2014,SF,,,
Heaven''s War,D.S Goyer,M. Cassutt,2012,10/23/2014,SF,,,
The 3rd Transition,Matt Bondurant,,2005,10/26/2014,SF,,,
Parasites Like Us,Adam Johnson,,2003,11/12/2014,SF,,,
Farnham''s Freehold,Robert A. Heinlein,,1964,11/27/2014,SF,,,
2312: Mars ,Kim Stanley Robinson,,2012,12/15/2014,SF,,,
The Devil''s Eye,Jack McDevitt,,2008,12/26/2014,SF,,,
Xenocide,Orson Scott Card,,1991,12/29/2014,SF,,,
Red Claw,Phillip Palmer,,2008,12/29/2014,SF,,,
The Sixth Extinction,James Rollins,,,1/7/2015,SF,,,
The Light of Other Days,Arthur C. Clarke,Stephen Baxter,2000,1/15/2015,SF,,,
Starhawk,Jack McDevitt,,2013,3/11/2015,SF,,,
Intersteller,G Nolan,Greg Keyes,2014,3/20/2015,SF,,,
2000 Leagues Under the Sea,Jules Verne,,1870,4/7/2015,SF,,,
Heaven''s Shadow,D.S Goyer,M. Cassutt,2014,4/20/2015,SF,,,
Heaven''s War,D.S Goyer,M. Cassutt,,4/24/2015,SF,,,
Heaven''s Fall,D.S Goyer,M. Cassutt,,4/30/2015,SF,,,
Hellhole: Awakening,Brian Herbert,Kevin J. Anderson,,5/5/2015,SF,,,
Great North Road,Peter F. Hamilton,,2013,5/17/2015,SF,,,
The Left Hand of God,Paul Hoffman,,,5/21/2015,SF,,,
The Hunger Games,Suzanne Collins,,,5/26/2015,SF,,,
Catching Fire,Suzanne Collins,,,5/30/2015,SF,,,
Mockingjay,Suzanne Collins,,,6/4/2015,SF,,,
Halo: Mortal Dictata,Karen Traviss,,,6/10/2015,SF,,,
The Reality Dysfunction,Peter F. Hamilton,,,7/2/2015,SF,,,
Neutronium Alchemist,Peter F. Hamilton,,,7/18/2015,SF,,,
Naked God,Peter F. Hamilton,,,8/6/2015,SF,,,
The Hercules Text,Jack McDevitt,,1986,7/25/2015,SF,,,
Halo: Cryptum,Greg Bear,,,8/13/2015,SF,,,
The Hammer of God,Arthur C. Clarke,,1994,8/22/2015,SF,,,
The Dirty Streets of Heaven,Tad Williams,,,9/11/2015,SF,,,
Shipstar,Larry Niven,Gregory Benford,2014,9/29/2015,SF,,,
Happy Hour in Hell,Tad Williams,,,11/5/2015,SF,,,
The Abyss Beyond Dreams,Peter F. Hamilton,,,11/25/2015,SF,,,
Energized,Edward M. Lerner,,2011,12/26/2015,SF,,,
Ready Player One,Ernest Cline,,2011,12/19/2015,SF,,,
Daughter of the Sword,Steve Bein,,,1/11/2016,SF,,,
Bowl of Heaven,Larry Niven,,,1/20/2016,SF,,,
Shipstar,Gregory Benford,,,2/3/2016,SF,,,
Adiamante,"L.E. Modesitt, Jr. ",,,2/6/2016,SF,,,
The Long Walk ,Stephen King ,,,2/26/2016,SF,,,
The Moon is a Harsh Mistress,Robert A. Heinlein,,,3/12/2016,SF,,,
The Hydrogen Sonata,Ian M. Banks,,2012,3/20/2016,SF,,,
Coyote,Allen Steele,,2012,3/20/2016,SF,,,
The Diamond Age,Neal Stephenson,,,3/29/2016,SF,,,
Pandora''s Star,Peter F. Hamilton,,,4/20/2016,SF,,,
Judas Unchained,Peter F. Hamilton,,,5/1/2016,SF,,,
Temporal Void,Peter F. Hamilton,,,5/10/2016,SF,,,
Evolutionary Void,Peter F. Hamilton,,,5/24/2016,SF,,,
The Abyss Beyond Dreams,Peter F. Hamilton,,,5/31/2016,SF,,,
Great North Road,Peter F. Hamilton,,,6/15/2016,SF,,,
Gateway ,Frederick Pohl,,1976,6/20/2016,SF,,,
Idoru,William Gibson,,1996,6/24/2016,SF,,,
In the Courts of the Sun,Brian D''Amato,,,7/4/2016,SF,,,
Ship Breaker,Paolo T Bacigalupi,,2011,8/20/2016,SF,,,
To Sail Beyond the Sunset,Robert A. Heinlein,,,8/25/2016,SF,,,
The War of Flowers,Tad Williams,,2003,9/25/2016,SF,,,
The City of Mirrors,Justin Cronin,,2016,9/13/2016,SF,,,
Coming Home,Jack McDevitt,,,9/20/2016,SF,,,
Replay,Ken Grimwood,,1986,9/25/2016,SF,,,
Mass Effect: Revelation,Drew Karpyshyn,,,10/2/2016,SF,,,
StarWars: Revan,Drew Karpyshyn,,,10/12/2016,SF,,,
The Strain,Chuck Hogan,,,10/21/2016,SF,,,
The Fall ,"Guillermo Toro	",,,10/26/2016,SF,,,
Year''s Best SciFi 2014,Gardner Dozois,,,11/12/2016,SF,,,
Witch Hunter,Edward Lee,,2012,11/16/2016,SF,,,
Mass Effect: Ascension,Drew Karpyshyn,,,11/25/2016,SF,,,
Mass Effect: Retribution,Drew Karpyshyn,,,12/10/2016,SF,,,
Night Eternal,Chuck Hogan,,,12/16/2016,SF,,,
The Romanov Conspiracy,Glenn Meade,,,12/25/2016,SF,,,
Never Let Me Go,Kazuo Ishiguro,,,1/14/2017,SF,,,
Shada,Douglas Adams,Gareth Roberts,,1/21/2017,SF,,,
WWW: Wonder,Robert J. Sawyer,,2011,1/25/2017,SF,,,
Anatehm,Neal Stephenson,,2008,2/7/2017,SF,,,
Seven Eves,Neal Stephenson,,2015,2/17/2017,SF,,,
Dr. Who Pirate Loop,Simon Guerrier,,,2/20/2017,SF,,,
Cryptonamican,Neal Stephenson,,,3/15/2017,SF,,,
Dead Space: Martyr,B.K. Evenson,,,3/21/2017,SF,,,
Weave World,Clive Barker,,1987,5/2/2017,SF,,,
Ready Player One,Ernest Cline,,,5/6/2017,SF,,,
Pandora''s Star,Peter F. Hamilton,,,5/17/2017,SF,,,
Judas Unchained,Peter F. Hamilton,,,5/29/2017,SF,,,
Good Omens,"Neil Gaiman	",Terry Pratchett,,6/2/2017,SF,,,
Daughter of the Sword,Steve Bein,,,6/6/2017,SF,,,
Second Chance at Eden,Peter F. Hamilton,,,6/12/2017,SF,,,
Dark Intelligence,Neal Asher,,,6/29/2017,SF,,,
Hominids,Robert J. Sawyer,,,7/3/2017,SF,,,
Thunder of Time,James F. David,,,7/6/2017,SF,,,
The Reality Dysfunction,Peter F. Hamilton,,,7/17/2017,SF,,,
Naked God,Peter F. Hamilton,,,8/1/2017,SF,,,
Slanted Jack,Mark Van Name ,,,8/6/2017,SF,,,
Startide Rising,David Brin,,,8/10/2017,SF,,,
Uplift War,David Brin,,1986,8/13/2017,SF,,,
Leviathan Wakes,James SA Corey,,,8/16/2017,SF,,,
Year''s Best SciFi ,Gardner Dozois,,,8/22/2017,SF,,,
Spheres Influence,Ryk E Spoor,,,8/31/2017,SF,,,
Blade Dancer,S.L. Viehl,,2003,9/6/2017,SF,,,
Illusion,Frank Peretti,,,9/8/2017,SF,,,
Saturn,Ben Bova,,2003,9/26/2017,SF,,,
Cauldron,Jack McDevitt,,2007,10/6/2017,SF,,,
Voyage from Yesteryear,James P. Hogan,,,10/10/2017,SF,,,
Treason,Orson Scott Card,,1979,11/1/2017,SF,,,
Ready Player One,Ernest Cline,,,11/7/2017,SF,,,
